ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
rs14-528-12,120847,9/16/2012,54,69.32950803,-50.3879835,0,16,,16,"2,5,9,10,14,16,18,20,26,30,31,34,36,40,50,54","0.8780,0.7111,0.6625,0.5661,0.4050,0.3843,0.2310,0.2310,0.4633,0.4542,0.4063,0.4122,0.4904,0.4270,0.5564,0.6781",,,"2,5,9,10,14,16,18,20,26,30,31,34,36,40,50,54","22.9360,27.1730,29.3865,29.7190,30.1845,30.3460,30.4980,30.6120,31.0395,31.2770,31.2770,31.4100,31.6095,31.7045,32.2650,32.4360",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.9360,27.1730,29.3865,29.7190,30.1845,30.3460,30.4980,30.6120,31.0395,31.2770,31.2770,31.4100,31.6095,31.7045,32.2650,32.4360"
rs14-528-12,120847,9/16/2012,20,69.32399703,-50.39684612,0,14,,14,"2,4,7,8,9,10,11,12,14,15,16,18,20,20","0.8980,0.7752,0.6930,0.5361,0.4244,0.3822,0.3319,0.3075,0.2646,0.1920,0.1580,0.1580,0.1965,0.1965",,,"2,4,7,8,9,10,11,12,14,15,16,18,20,20","22.3020,26.0976,28.4667,28.9255,29.1675,29.4010,29.6096,29.8432,30.1685,30.3437,30.3937,30.4938,30.6440,30.6440",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.3020,26.0976,28.4667,28.9255,29.1675,29.4010,29.6096,29.8432,30.1685,30.3437,30.3937,30.4938,30.6440,30.6440"
rs14-528-12,120847,9/16/2012,45,69.31865647,-50.40543464,0,16,,16,"2,3,5,6,9,10,12,14,16,18,20,22,24,35,37,45","-0.2604,-0.4980,-0.4980,-0.3176,0.7978,0.8462,1.1256,1.3698,1.5414,1.6250,1.7020,1.7020,1.6404,1.6888,1.4116,1.1586",,,"2,3,5,6,9,10,12,14,16,18,20,22,24,35,37,45","22.0040,23.8613,26.8660,27.5175,29.1706,29.5498,29.7832,30.1430,30.2791,30.4250,30.5806,30.6973,30.8139,31.3779,31.4168,31.7280",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.0040,23.8613,26.8660,27.5175,29.1706,29.5498,29.7832,30.1430,30.2791,30.4250,30.5806,30.6973,30.8139,31.3779,31.4168,31.7280"
rs14-528-12,120847,9/17/2012,118,69.30536189,-50.42681457,0,16,,16,"2,4,6,10,14,20,21,26,30,40,50,60,74,80,100,118","-1.1993,-1.3740,-1.3740,-1.1886,-0.7283,-0.5173,-0.3831,-0.1188,-0.0720,0.1752,0.3010,0.2988,0.2797,0.3649,0.5631,0.7570",,,"2,4,6,10,14,20,21,26,30,40,50,60,74,80,100,118","22.3020,26.7100,28.2991,29.7140,30.3453,30.5630,30.6500,30.9657,31.0963,31.3901,31.8582,32.1411,32.5656,32.7071,32.9901,33.1860",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.3020,26.7100,28.2991,29.7140,30.3453,30.5630,30.6500,30.9657,31.0963,31.3901,31.8582,32.1411,32.5656,32.7071,32.9901,33.1860"
rs14-528-12,120847,9/17/2012,176,69.29919752,-50.43672791,0,16,,16,"2,5,9,10,20,30,40,44,50,54,60,65,69,100,150,176","-1.2920,-1.1179,-0.3377,0.0750,1.5483,1.9320,1.8385,1.8578,1.2936,0.7810,0.4844,0.0331,-0.0024,0.7585,1.5258,1.6902",,,"2,5,9,10,20,30,40,44,50,54,60,65,69,100,150,176","24.8080,27.0540,29.1293,29.2371,30.5667,31.2765,31.5550,31.7796,32.0311,32.2378,32.4174,32.4893,32.4893,33.1901,33.6662,33.7920",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24.8080,27.0540,29.1293,29.2371,30.5667,31.2765,31.5550,31.7796,32.0311,32.2378,32.4174,32.4893,32.4893,33.1901,33.6662,33.7920"
rs14-528-12,120847,9/18/2012,236,69.26865975,-50.48583779,0,16,,16,"2,5,10,15,20,30,43,50,53,59,65,80,100,150,200,236","-1.2820,-0.9684,0.2405,1.5439,2.2278,2.2429,1.9709,2.4960,2.4016,0.9584,1.1586,0.5163,0.9206,1.4722,1.7480,1.8726",,,"2,5,10,15,20,30,43,50,53,59,65,80,100,150,200,236","24.8940,27.9893,29.9239,30.5627,30.9856,31.5435,31.9484,32.2184,32.4253,32.4253,32.5513,32.8482,33.1992,33.6041,33.7840,33.8920",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24.8940,27.9893,29.9239,30.5627,30.9856,31.5435,31.9484,32.2184,32.4253,32.4253,32.5513,32.8482,33.1992,33.6041,33.7840,33.8920"
rs14-528-12,120847,9/18/2012,239,69.26664284,-50.48908133,0,16,,16,"2,5,10,17,20,30,36,50,56,65,73,80,100,150,200,239","-1.2850,-1.0122,0.2930,1.9669,2.1808,2.0075,2.4020,2.0665,2.0112,0.9899,1.0599,0.5511,0.9973,1.3991,1.7347,1.8526",,,"2,5,10,17,20,30,36,50,56,65,73,80,100,150,200,239","24.7100,27.6824,29.8016,30.6823,31.0034,31.4896,31.7648,32.1776,32.3519,32.4987,32.6914,32.8198,33.1593,33.5721,33.7739,33.8840",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24.7100,27.6824,29.8016,30.6823,31.0034,31.4896,31.7648,32.1776,32.3519,32.4987,32.6914,32.8198,33.1593,33.5721,33.7739,33.8840"
rs14-528-12,120847,9/18/2012,295,69.32909783,-50.40807588,0,16,,16,"2,10,17,20,30,42,50,53,66,69,80,100,123,150,200,295","0.1430,0.2997,0.3307,0.4274,0.4294,0.5068,0.3926,0.4990,0.7138,0.8802,1.1279,1.3949,1.7084,1.8497,1.8245,2.0780",,,"2,10,17,20,30,42,50,53,66,69,80,100,123,150,200,295","28.1260,29.9477,30.5238,30.8323,31.3212,31.8333,32.0429,32.0778,32.5201,32.6540,32.8635,33.1137,33.4106,33.6259,33.7947,33.9460",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28.1260,29.9477,30.5238,30.8323,31.3212,31.8333,32.0429,32.0778,32.5201,32.6540,32.8635,33.1137,33.4106,33.6259,33.7947,33.9460"
rs14-528-12,120847,9/18/2012,317,69.32905776,-50.41954215,0,16,,16,"2,10,14,20,30,38,50,74,82,100,118,150,167,200,300,317","0.2397,0.2170,0.2283,0.4212,0.4439,0.5857,0.4364,1.0131,1.3573,1.6693,1.8168,1.8527,1.7695,1.8262,2.0967,2.1080",,,"2,10,14,20,30,38,50,74,82,100,118,150,167,200,300,317","27.3400,29.7960,30.3786,30.8354,31.3120,31.6761,32.1196,32.7750,33.0133,33.3708,33.5429,33.6952,33.7482,33.8144,33.9600,33.9600",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.3400,29.7960,30.3786,30.8354,31.3120,31.6761,32.1196,32.7750,33.0133,33.3708,33.5429,33.6952,33.7482,33.8144,33.9600,33.9600"
rs14-528-12,120847,9/19/2012,276,69.31634722,-50.45923201,0,8,,8,"10,20,30,50,80,100,150,200","0.2913,0.3543,0.4656,0.4248,0.9795,1.3968,1.8179,1.7456",,,"10,20,30,50,80,100,150,200","30.0288,30.6935,31.1884,31.8827,32.8059,33.1235,33.6701,33.8031",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","30.0288,30.6935,31.1884,31.8827,32.8059,33.1235,33.6701,33.8031"
