ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
ct71-01-10,34912,10/27/2010,123,60.03165848,-43.37773475,0,9,,9,"2,10,20,30,40,50,60,80,100","3.2470,3.2406,3.2354,3.2123,3.1897,3.1856,3.1584,3.1051,3.0362",,,"2,10,20,30,40,50,60,80,100","31.1960,31.4783,31.5305,31.6308,31.7406,31.7887,31.8516,31.9720,32.0871",,,,,,,,,,
ct71-01-10,34912,10/28/2010,34,60.07641339,-43.58666965,0,9,,9,"2,10,12,14,16,18,20,22,24","3.2300,3.2759,3.2629,3.2560,3.2529,3.2469,3.2429,3.2419,3.2400",,,"2,10,12,14,16,18,20,22,24","30.9560,31.3973,31.4468,31.4812,31.5006,31.5300,31.5451,31.5501,31.5570",,,,,,,,,,
ct71-01-10,34912,10/29/2010,19,60.07385208,-43.55391461,0,6,,6,"2,10,12,14,16,18","3.1830,3.2010,3.2010,3.1990,3.1990,3.1980",,,"2,10,12,14,16,18","31.4720,31.6237,31.6372,31.6599,31.6725,31.6834",,,,,,,,,,
ct71-01-10,34912,10/30/2010,36,60.0703698,-43.56535636,0,17,,17,"2,4,7,9,10,11,12,13,14,16,18,20,22,24,29,33,36","3.2070,3.2090,3.2070,3.2040,3.2010,3.2010,3.1990,3.1950,3.1950,3.1940,3.1930,3.1920,3.1920,3.1920,3.1920,3.1940,3.1930",,,"2,4,7,9,10,11,12,13,14,16,18,20,22,24,29,33,36","31.4740,31.4987,31.5436,31.5525,31.5579,31.5579,31.5589,31.5604,31.5604,31.5628,31.5659,31.5669,31.5718,31.5738,31.5816,31.5926,31.6000",,,,,,,,,,
ct71-01-10,34912,10/30/2010,112,60.06571374,-43.58065487,0,17,,17,"2,4,10,20,30,40,50,60,73,77,80,86,95,100,101,108,112","3.0835,3.1394,3.1735,3.1784,3.1820,3.1492,3.1182,3.0981,3.0245,3.0197,2.9704,2.8847,2.8275,2.7625,2.7132,2.6384,2.5740",,,"2,4,10,20,30,40,50,60,73,77,80,86,95,100,101,108,112","31.4200,31.4622,31.5659,31.6130,31.6648,31.7927,31.9157,31.9591,32.0857,32.0905,32.1472,32.2751,32.3607,32.4270,32.4837,32.5597,32.6260",,,,,,,,,,
ct71-01-10,34912,10/31/2010,215,60.07125693,-43.53420146,0,9,,9,"2,10,20,30,50,80,100,150,200","2.6029,2.7665,2.9053,2.9210,3.0833,3.1069,3.1370,3.2744,2.2861",,,"2,10,20,30,50,80,100,150,200","31.4200,31.4655,31.5109,31.5581,31.7164,32.0397,32.1845,32.6998,33.0114",,,,,,,,,,
ct71-01-10,34912,10/31/2010,29,60.04065669,-43.60120269,0,9,,9,"2,10,12,14,16,18,20,22,24","2.9320,2.9599,2.9669,2.9729,2.9820,2.9829,2.9829,2.9889,2.9940",,,"2,10,12,14,16,18,20,22,24","31.4200,31.4439,31.4488,31.4539,31.4608,31.4608,31.4628,31.4649,31.4708",,,,,,,,,,
ct71-01-10,34912,11/1/2010,25,60.04881009,-43.57492031,0,9,,9,"2,10,12,14,16,18,20,22,24","2.9550,2.9580,2.9570,2.9570,2.9580,2.9570,2.9560,2.9580,2.9610",,,"2,10,12,14,16,18,20,22,24","31.4393,31.4393,31.4393,31.4387,31.4380,31.4387,31.4380,31.4387,31.4400",,,,,,,,,,
ct71-01-10,34912,11/1/2010,127,60.05239145,-43.56793667,0,9,,9,"2,10,20,30,40,50,60,80,100","2.9397,2.9498,2.9576,2.9898,3.0287,3.0818,3.1186,3.1018,3.0026",,,"2,10,20,30,40,50,60,80,100","31.4700,31.4700,31.4793,31.4996,31.5360,31.5927,31.7348,31.9277,32.0935",,,,,,,,,,
ct71-01-10,34912,11/2/2010,129,60.06801616,-43.57352065,0,9,,9,"2,10,20,30,40,50,60,80,100","2.9165,2.9907,3.0917,3.1250,3.1238,3.1158,3.1106,3.0937,3.0717",,,"2,10,20,30,40,50,60,80,100","31.3920,31.5273,31.6190,31.6983,31.7777,31.8213,31.8873,31.9611,32.0091",,,,,,,,,,
ct71-01-10,34912,11/2/2010,143,60.059,-43.56542057,0,9,,9,"2,10,20,30,40,50,60,80,100","3.0111,3.0823,3.1050,3.0493,2.8573,2.7675,2.7273,2.5818,2.4383",,,"2,10,20,30,40,50,60,80,100","31.5500,31.6551,31.8324,32.0442,32.3566,32.5263,32.6450,32.7336,32.8627",,,,,,,,,,
ct71-01-10,34912,11/2/2010,39,60.059,-43.56940941,0,17,,17,"2,3,5,7,9,10,11,12,14,16,18,20,21,22,24,31,39","3.0269,3.0599,3.0599,3.0498,3.0090,3.0090,3.0090,3.0559,3.0769,3.0769,3.0809,3.0859,3.0859,3.1059,3.1158,3.1250,3.0989",,,"2,3,5,7,9,10,11,12,14,16,18,20,21,22,24,31,39","31.4740,31.5368,31.5588,31.5651,31.5858,31.6005,31.6118,31.6338,31.6524,31.6549,31.6646,31.6696,31.6721,31.6894,31.7114,31.7497,31.7880",,,,,,,,,,
