ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
rs17-I6-12,120852,8/2/2013,318,69.33524397,-50.34522979,0,17,,17,"2,4,10,20,26,30,37,50,75,100,128,150,200,223,234,300,318","1.4616,0.2577,0.1491,0.0789,0.0518,-0.1451,-0.2560,-0.1202,0.2622,0.8642,1.1946,1.2285,1.5635,1.6494,1.8237,1.9934,2.0070",,,"2,4,10,20,26,30,37,50,75,100,128,150,200,223,234,300,318","22.7660,27.2917,29.0997,30.9077,31.8735,32.0981,32.3564,32.5810,32.9741,33.3334,33.5468,33.5917,33.7714,33.8163,33.9062,33.9960,33.8612",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.7660,27.2917,29.0997,30.9077,31.8735,32.0981,32.3564,32.5810,32.9741,33.3334,33.5468,33.5917,33.7714,33.8163,33.9062,33.9960,33.8612"
rs17-I6-12,120852,8/3/2013,296,69.30629027,-50.55903274,0,9,,9,"2,10,20,30,50,80,100,150,200","2.7020,0.0718,0.0494,-0.1020,-0.0684,0.4756,0.8682,1.3336,1.7206",,,"2,10,20,30,50,80,100,150,200","23.2100,29.5545,30.9464,32.1333,32.6405,33.0613,33.3202,33.6116,33.7842",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","23.2100,29.5545,30.9464,32.1333,32.6405,33.0613,33.3202,33.6116,33.7842"
rs17-I6-12,120852,8/3/2013,23,69.28908811,-50.62080687,0,8,,8,"2,10,12,14,16,18,20,22","1.9100,0.3653,0.1908,0.0657,0.0337,0.0133,-0.1612,-0.9321",,,"2,10,12,14,16,18,20,22","21.8720,29.4448,29.7620,30.0296,30.5747,30.8820,31.3479,31.5461",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","21.8720,29.4448,29.7620,30.0296,30.5747,30.8820,31.3479,31.5461"
rs17-I6-12,120852,8/3/2013,156,69.27733412,-50.60388113,0,17,,17,"2,5,8,10,20,30,40,50,60,67,69,70,74,88,100,150,156","-1.2537,-1.4830,-1.4830,-1.3183,-1.3635,-0.6693,-0.3432,-0.1074,0.1412,0.3769,0.5093,0.7418,0.8774,1.1809,1.2552,1.6879,1.7460",,,"2,5,8,10,20,30,40,50,60,67,69,70,74,88,100,150,156","26.0240,28.1300,29.3546,29.7212,30.9458,31.6166,32.1080,32.3810,32.5682,32.7476,32.6306,32.6306,33.1142,33.3638,33.4496,33.7616,33.8240",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26.0240,28.1300,29.3546,29.7212,30.9458,31.6166,32.1080,32.3810,32.5682,32.7476,32.6306,32.6306,33.1142,33.3638,33.4496,33.7616,33.8240"
rs17-I6-12,120852,8/3/2013,35,69.26137191,-50.58089555,0,17,,17,"2,3,10,12,14,16,18,20,21,22,24,27,29,31,32,33,35","-1.3393,-1.4472,-1.5060,-1.3825,-1.2432,-1.0589,-0.8922,-0.8746,-0.8726,-0.8059,-0.5569,-0.4706,-0.3039,0.2158,0.3864,0.4550,0.4491",,,"2,3,10,12,14,16,18,20,21,22,24,27,29,31,32,33,35","25.2360,27.7963,30.0295,30.4491,30.6127,30.9754,31.1745,31.4519,31.4519,31.4519,31.5657,31.7293,31.7008,31.9853,32.1204,32.2627,32.3480",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","25.2360,27.7963,30.0295,30.4491,30.6127,30.9754,31.1745,31.4519,31.4519,31.4519,31.5657,31.7293,31.7008,31.9853,32.1204,32.2627,32.3480"
rs17-I6-12,120852,8/3/2013,165,69.25150437,-50.56668629,0,17,,17,"2,3,10,14,20,23,26,30,34,40,50,57,60,70,100,150,165","-1.0129,-1.3280,-1.4180,-1.3183,-0.8618,-0.8329,-0.5660,0.1220,0.5592,0.7328,0.9354,0.5335,0.5335,1.2440,1.3758,1.7006,1.7970",,,"2,3,10,14,20,23,26,30,34,40,50,57,60,70,100,150,165","22.1140,25.7817,29.5549,30.4689,31.2540,31.3947,31.3478,31.8048,31.9454,32.3087,32.6719,32.7188,32.6719,33.0000,33.5039,33.6914,33.8320",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.1140,25.7817,29.5549,30.4689,31.2540,31.3947,31.3478,31.8048,31.9454,32.3087,32.6719,32.7188,32.6719,33.0000,33.5039,33.6914,33.8320"
rs17-I6-12,120852,8/4/2013,117,69.2454097,-50.55790997,0,17,,17,"2,3,4,10,16,20,24,30,32,35,40,50,60,73,80,100,117","-0.8176,-1.2310,-1.3188,-1.3330,-1.1602,-0.8572,-0.3843,-0.3078,-0.1917,0.2954,0.5078,0.6069,0.9949,1.0544,1.2186,1.4084,1.4990",,,"2,3,4,10,16,20,24,30,32,35,40,50,60,73,80,100,117","22.7540,26.2934,27.2616,29.2088,31.0592,31.3174,31.5648,31.8660,31.8660,32.0274,32.3717,32.6621,32.8342,33.0817,33.0817,33.2968,33.5120",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.7540,26.2934,27.2616,29.2088,31.0592,31.3174,31.5648,31.8660,31.8660,32.0274,32.3717,32.6621,32.8342,33.0817,33.0817,33.2968,33.5120"
rs17-I6-12,120852,8/4/2013,18,69.23539705,-50.54349175,0,14,,14,"2,3,5,6,7,9,10,12,13,14,16,17,18,18","-1.4234,-1.4680,-1.4680,-1.4680,-1.4680,-1.4680,-1.4680,-1.4531,-1.4234,-1.4086,-1.3492,-1.3343,-1.3343,-1.3195",,,"2,3,5,6,7,9,10,12,13,14,16,17,18,18","27.5180,27.5954,27.6607,27.9011,28.3006,29.2095,29.6742,30.4894,30.6158,30.7788,31.0804,31.1905,31.2394,31.2720",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.5180,27.5954,27.6607,27.9011,28.3006,29.2095,29.6742,30.4894,30.6158,30.7788,31.0804,31.1905,31.2394,31.2720"
rs17-I6-12,120852,8/4/2013,174,69.23118883,-50.53743191,0,17,,17,"2,4,10,16,20,25,30,40,45,50,60,90,100,114,129,150,174","-0.8744,-1.3409,-1.5150,-1.4394,-1.0879,-0.7036,-0.0729,0.6005,0.9356,0.9717,0.9685,1.4152,1.4546,1.4021,1.6222,1.5565,1.7700",,,"2,4,10,16,20,25,30,40,45,50,60,90,100,114,129,150,174","24.4440,24.6592,30.4612,30.9385,31.1537,31.3783,31.6684,32.1456,32.5106,32.6978,32.9130,33.2124,33.3528,33.3902,33.5774,33.6523,33.8020",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24.4440,24.6592,30.4612,30.9385,31.1537,31.3783,31.6684,32.1456,32.5106,32.6978,32.9130,33.2124,33.3528,33.3902,33.5774,33.6523,33.8020"
rs17-I6-12,120852,8/4/2013,201,69.21812884,-50.51862553,0,17,,17,"2,5,10,20,23,30,50,60,66,68,80,100,118,129,150,200,201","2.8130,0.9749,0.1423,0.0470,-0.5033,-0.7150,-0.0517,0.7174,0.5904,0.8797,1.1443,1.2113,1.3700,1.1231,1.4124,1.7828,1.7828",,,"2,5,10,20,23,30,50,60,66,68,80,100,118,129,150,200,201","22.6240,27.9977,29.3242,31.1679,31.7413,31.9211,32.5394,32.8430,32.8879,32.9779,33.2477,33.3264,33.4163,33.4163,33.5962,33.8660,33.8660",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.6240,27.9977,29.3242,31.1679,31.7413,31.9211,32.5394,32.8430,32.8879,32.9779,33.2477,33.3264,33.4163,33.4163,33.5962,33.8660,33.8660"
