ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
rs29-02-16,159112,8/4/2016,213,,,0,8,,8,"10,20,30,50,80,100,150,200","0.414,-0.373,0.208,1.414,2.086,2.407,2.907,3.005",,,"10,20,30,50,80,100,150,200","31.049,32.016,32.550,33.150,33.723,33.883,34.337,34.603",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","31.049,32.016,32.550,33.150,33.723,33.883,34.337,34.603"
rs29-02-16,159112,8/4/2016,64,,,0,16,,16,"2,4,6,8,10,13,14,15,20,26,30,36,40,50,61,64","-0.002,-0.146,-0.146,0.140,0.280,0.241,-0.109,-0.305,-0.327,-0.056,0.084,0.442,0.761,1.280,1.796,1.857",,,"2,4,6,8,10,13,14,15,20,26,30,36,40,50,61,64","28.696,29.917,30.455,30.756,31.047,31.314,31.557,31.700,31.976,32.248,32.425,32.696,32.863,33.125,33.388,33.464",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28.696,29.917,30.455,30.756,31.047,31.314,31.557,31.700,31.976,32.248,32.425,32.696,32.863,33.125,33.388,33.464"
rs29-02-16,159112,8/4/2016,176,,,0,16,,16,"2,5,10,15,20,30,40,46,48,50,60,90,100,116,150,176","0.151,-0.025,0.282,-0.356,-0.385,0.197,0.769,1.155,1.554,1.554,1.610,2.411,2.411,2.721,2.885,2.875",,,"2,5,10,15,20,30,40,46,48,50,60,90,100,116,150,176","28.202,30.519,31.247,31.724,31.956,32.415,32.854,33.074,33.099,33.099,33.287,33.789,33.865,34.059,34.367,34.480",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28.202,30.519,31.247,31.724,31.956,32.415,32.854,33.074,33.099,33.099,33.287,33.789,33.865,34.059,34.367,34.480"
rs29-02-16,159112,8/5/2016,194,66.10934999,-37.87216536,0,8,,8,"10,20,30,40,50,60,100,150","1.119,0.591,1.138,1.555,1.785,1.908,2.114,2.619",,,"10,20,30,40,50,60,100,150","30.889,31.705,32.751,33.065,33.235,33.371,33.949,34.196",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","30.889,31.705,32.751,33.065,33.235,33.371,33.949,34.196"
rs29-02-16,159112,8/5/2016,92,66.31032628,-37.39654671,0,8,,8,"10,14,20,26,30,36,40,50","0.428,-0.095,0.125,1.181,1.683,1.905,1.926,1.886",,,"10,14,20,26,30,36,40,50","30.246,30.650,31.625,32.538,32.683,32.859,32.922,33.004",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","30.246,30.650,31.625,32.538,32.683,32.859,32.922,33.004"
rs29-02-16,159112,8/6/2016,105,66.30003699,-37.40480822,0,16,,16,"2,5,10,15,20,23,25,30,40,50,60,80,84,92,100,105","-0.911,-1.142,-1.230,-1.233,-0.817,-0.169,0.443,1.014,1.287,1.140,1.504,1.777,1.784,2.267,2.253,2.253",,,"2,5,10,15,20,23,25,30,40,50,60,80,84,92,100,105","26.730,29.646,30.777,31.595,32.071,32.391,32.448,32.640,32.839,33.045,33.209,33.479,33.543,33.799,33.814,33.842",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26.730,29.646,30.777,31.595,32.071,32.391,32.448,32.640,32.839,33.045,33.209,33.479,33.543,33.799,33.814,33.842"
rs29-02-16,159112,8/6/2016,183,66.33253554,-37.6035672,0,8,,8,"10,20,30,40,50,60,100,150","-1.436,-1.110,0.269,0.650,1.090,1.424,2.435,2.562",,,"10,20,30,40,50,60,100,150","30.827,31.978,32.524,32.822,33.077,33.289,33.820,34.388",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","30.827,31.978,32.524,32.822,33.077,33.289,33.820,34.388"
rs29-02-16,159112,8/7/2016,25,66.35375333,-37.70524307,0,8,,8,"10,12,14,16,18,20,22,24","-1.682,-1.694,-1.696,-1.688,-1.594,-1.498,-1.479,-1.449",,,"10,12,14,16,18,20,22,24","31.061,31.396,31.690,31.944,32.105,32.212,32.239,32.319",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","31.061,31.396,31.690,31.944,32.105,32.212,32.239,32.319"
rs29-02-16,159112,8/9/2016,99,66.42355486,-37.89271566,0,8,,8,"10,14,20,26,30,36,40,50","-1.373,-1.330,-1.022,-0.529,-0.325,0.018,0.201,0.537",,,"10,14,20,26,30,36,40,50","30.734,31.205,31.862,32.261,32.439,32.598,32.732,32.980",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","30.734,31.205,31.862,32.261,32.439,32.598,32.732,32.980"
rs29-02-16,159112,8/9/2016,83,66.37444375,-37.829785,0,8,,8,"10,14,20,26,30,36,40,50","-0.979,-1.345,-1.201,-0.882,-0.324,0.206,0.206,0.552",,,"10,14,20,26,30,36,40,50","30.436,30.959,31.798,32.150,32.358,32.587,32.637,32.867",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","30.436,30.959,31.798,32.150,32.358,32.587,32.637,32.867"
rs29-02-16,159112,8/10/2016,97,66.33089814,-37.07674627,0,8,,8,"10,14,20,26,30,36,40,50","1.722,1.739,1.763,1.660,1.738,1.802,1.841,1.917",,,"10,14,20,26,30,36,40,50","31.486,31.787,32.080,32.129,32.227,32.472,32.583,32.912",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","31.486,31.787,32.080,32.129,32.227,32.472,32.583,32.912"
rs29-02-16,159112,8/10/2016,118,66.38147633,-36.83853801,0,16,,16,"2,10,14,16,20,30,40,44,45,50,56,60,67,80,100,118","0.844,1.062,1.142,1.493,1.534,1.610,1.574,1.535,1.730,1.839,1.852,1.631,2.022,1.881,1.977,1.991",,,"2,10,14,16,20,30,40,44,45,50,56,60,67,80,100,118","28.714,30.768,31.182,31.511,31.835,32.164,32.593,32.927,32.927,33.112,33.142,33.266,33.406,33.436,33.560,33.700",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28.714,30.768,31.182,31.511,31.835,32.164,32.593,32.927,32.927,33.112,33.142,33.266,33.406,33.436,33.560,33.700"
rs29-02-16,159112,8/10/2016,292,66.41637989,-36.78606684,0,16,,16,"2,3,10,20,30,36,41,50,80,100,107,129,132,150,200,292","0.249,0.887,1.414,1.574,1.815,1.747,1.977,2.045,2.045,2.128,2.243,2.288,2.428,2.443,2.448,2.502",,,"2,3,10,20,30,36,41,50,80,100,107,129,132,150,200,292","28.608,28.930,30.989,31.518,32.024,32.340,32.788,33.185,33.547,33.680,33.795,33.904,34.030,34.220,34.243,34.358",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28.608,28.930,30.989,31.518,32.024,32.340,32.788,33.185,33.547,33.680,33.795,33.904,34.030,34.220,34.243,34.358"
rs29-02-16,159112,8/11/2016,168,66.41098882,-36.66161319,0,16,,16,"2,4,6,10,15,18,20,30,40,50,60,100,121,138,150,168","0.182,0.927,1.104,1.236,1.504,1.773,1.778,1.855,1.999,1.929,1.995,2.282,2.511,2.539,2.452,2.391",,,"2,4,6,10,15,18,20,30,40,50,60,100,121,138,150,168","28.640,29.761,30.410,30.973,31.599,32.122,32.213,32.646,33.124,33.300,33.505,33.835,34.068,34.216,34.284,34.330",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28.640,29.761,30.410,30.973,31.599,32.122,32.213,32.646,33.124,33.300,33.505,33.835,34.068,34.216,34.284,34.330"
rs29-02-16,159112,8/11/2016,314,66.40376958,-36.87092529,0,16,,16,"2,5,7,10,20,30,36,50,100,120,128,132,150,200,300,314","-0.115,0.938,1.235,1.427,1.570,1.687,1.885,2.033,2.184,2.221,2.093,2.249,2.369,2.403,2.486,2.478",,,"2,5,7,10,20,30,36,50,100,120,128,132,150,200,300,314","29.604,30.979,31.433,31.750,32.005,32.321,32.681,33.451,33.744,33.876,33.985,34.042,34.198,34.283,34.330,34.321",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","29.604,30.979,31.433,31.750,32.005,32.321,32.681,33.451,33.744,33.876,33.985,34.042,34.198,34.283,34.330,34.321"
rs29-02-16,159112,8/11/2016,20,66.41808607,-36.71661545,0,6,,6,"10,12,14,16,18,20","1.435,1.439,1.439,1.440,1.477,1.520",,,"10,12,14,16,18,20","31.039,31.039,31.311,31.469,31.605,31.682",,,,,,,0,"0,0,0,0,0,0","0,0,0,0,0,0","31.039,31.039,31.311,31.469,31.605,31.682"
rs29-02-16,159112,8/12/2016,54,66.38984814,-36.86598741,0,8,,8,"10,14,20,26,30,36,40,50","1.351,1.477,1.613,1.811,1.875,1.954,1.984,1.940",,,"10,14,20,26,30,36,40,50","31.217,31.643,31.956,32.424,32.642,32.902,33.035,33.317",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","31.217,31.643,31.956,32.424,32.642,32.902,33.035,33.317"
rs29-02-16,159112,8/13/2016,135,66.42654148,-36.72713114,0,8,,8,"10,20,30,40,50,60,80,100","1.084,1.488,1.596,1.660,1.814,1.979,1.922,2.156",,,"10,20,30,40,50,60,80,100","31.380,32.122,32.347,32.509,32.905,33.393,33.660,33.780",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","31.380,32.122,32.347,32.509,32.905,33.393,33.660,33.780"
rs29-02-16,159112,8/17/2016,220,66.3368176,-37.87333393,0,8,,8,"10,20,30,50,80,100,150,200","-1.284,-1.391,-1.118,-0.163,1.816,2.060,2.436,2.544",,,"10,20,30,50,80,100,150,200","30.361,31.558,32.192,32.610,33.519,33.711,33.878,34.249",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","30.361,31.558,32.192,32.610,33.519,33.711,33.878,34.249"
rs29-02-16,159112,8/17/2016,110,66.40241543,-37.825993,0,8,,8,"10,20,30,40,50,60,80,100","-0.057,-0.057,-0.057,-0.057,-0.057,-0.057,-0.057,-0.057",,,"10,20,30,40,50,60,80,100","7.744,7.744,7.744,7.744,7.744,7.744,7.744,7.744",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","7.744,7.744,7.744,7.744,7.744,7.744,7.744,7.744"
