ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
rs19-530-12,120848,8/1/2013,175,69.3397224,-50.3678074,0,16,,16,"2,6,10,20,30,40,45,50,60,80,84,86,95,100,150,175","0.8979,0.1580,-0.0068,0.0030,-0.0909,-0.0678,-0.1700,-0.1189,-0.0250,0.5139,0.5139,0.6474,0.7067,0.9276,1.2638,1.4780",,,"2,6,10,20,30,40,45,50,60,80,84,86,95,100,150,175","25.4700,28.7185,29.6642,30.8567,32.0163,32.4522,32.5673,32.6578,32.7400,33.1265,33.1759,33.2252,33.2252,33.3815,33.5789,33.6940",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","25.4700,28.7185,29.6642,30.8567,32.0163,32.4522,32.5673,32.6578,32.7400,33.1265,33.1759,33.2252,33.2252,33.3815,33.5789,33.6940"
rs19-530-12,120848,8/2/2013,302,69.19442106,-50.4922729,0,8,,8,"10,20,30,50,100,150,200,300","0.6073,-1.0630,-0.8774,-0.0146,1.2683,1.5483,1.9976,2.1865",,,"10,20,30,50,100,150,200,300","29.0983,31.4697,31.9852,32.5924,33.3828,33.5776,33.8296,33.9900",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","29.0983,31.4697,31.9852,32.5924,33.3828,33.5776,33.8296,33.9900"
rs19-530-12,120848,8/3/2013,286,69.13237811,-49.92595787,0,8,,8,"10,20,30,50,80,100,150,200","-1.4757,-0.2306,0.5494,0.9376,0.7581,1.1976,1.8091,2.0362",,,"10,20,30,50,80,100,150,200","30.4456,31.4586,32.0609,32.3347,33.1287,33.3477,33.6762,33.8405",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","30.4456,31.4586,32.0609,32.3347,33.1287,33.3477,33.6762,33.8405"
rs19-530-12,120848,8/3/2013,135,69.13443787,-49.93472942,0,8,,8,"10,20,30,40,50,60,80,100","-1.1873,-0.3519,-0.1408,0.4534,0.7912,0.9329,1.3521,1.5512",,,"10,20,30,40,50,60,80,100","27.7021,31.5945,32.1410,32.4743,32.7675,32.8475,33.0475,33.2607",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","27.7021,31.5945,32.1410,32.4743,32.7675,32.8475,33.0475,33.2607"
rs19-530-12,120848,8/3/2013,251,69.13455299,-49.93521967,0,16,,16,"2,10,20,22,30,34,38,42,50,80,88,100,125,150,200,251","-1.3518,-1.4040,-0.5089,-0.3870,-0.4915,-0.4253,-0.1118,0.4455,0.7624,1.1038,1.3197,1.3232,1.6506,1.6924,1.9153,2.0790",,,"2,10,20,22,30,34,38,42,50,80,88,100,125,150,200,251","22.3560,28.1681,31.6047,31.7661,32.1236,32.2620,32.4350,32.6425,32.9078,33.0692,33.2076,33.2768,33.4728,33.5882,33.7727,33.8880",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.3560,28.1681,31.6047,31.7661,32.1236,32.2620,32.4350,32.6425,32.9078,33.0692,33.2076,33.2768,33.4728,33.5882,33.7727,33.8880"
rs19-530-12,120848,8/4/2013,378,69.13747461,-49.94766149,0,8,,8,"10,20,30,50,100,150,200,300","-1.3377,-0.4125,0.0812,0.7468,1.4635,1.6939,1.9243,2.1803",,,"10,20,30,50,100,150,200,300","28.8503,31.4764,32.0770,32.8660,33.3252,33.5254,33.7609,33.9493",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","28.8503,31.4764,32.0770,32.8660,33.3252,33.5254,33.7609,33.9493"
rs19-530-12,120848,8/4/2013,88,69.13919523,-49.95498878,0,16,,16,"2,3,10,14,20,26,30,36,40,42,46,50,55,59,75,88","-1.2256,-1.3720,-1.3668,-0.9928,-0.5404,-0.1142,0.0872,0.2362,0.2624,0.3042,0.6625,0.7357,0.8089,1.0155,1.0103,1.2430",,,"2,3,10,14,20,26,30,36,40,42,46,50,55,59,75,88","19.9840,25.5783,28.4677,30.9746,31.5156,31.8058,32.0301,32.3732,32.5711,32.5975,32.7030,32.8350,32.9141,32.9933,33.0461,33.1780",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","19.9840,25.5783,28.4677,30.9746,31.5156,31.8058,32.0301,32.3732,32.5711,32.5975,32.7030,32.8350,32.9141,32.9933,33.0461,33.1780"
rs19-530-12,120848,8/5/2013,135,69.14370368,-49.97418814,0,8,,8,"10,20,30,40,50,60,80,100","-1.3931,-0.8991,-0.3026,0.3126,0.7320,1.0925,1.3286,1.3441",,,"10,20,30,40,50,60,80,100","28.1669,31.3257,31.9849,32.5618,32.8639,33.0837,33.1844,33.2210",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","28.1669,31.3257,31.9849,32.5618,32.8639,33.0837,33.1844,33.2210"
rs19-530-12,120848,8/5/2013,313,69.14511937,-49.98021693,0,8,,8,"10,20,30,50,100,150,200,300","-1.3820,-1.0923,-0.5835,0.7307,1.3879,1.7023,1.8330,2.1298",,,"10,20,30,50,100,150,200,300","28.8116,31.2943,31.9419,32.7838,33.2372,33.4962,33.7121,33.8848",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","28.8116,31.2943,31.9419,32.7838,33.2372,33.4962,33.7121,33.8848"
rs19-530-12,120848,8/7/2013,215,69.1522943,-50.0107716,0,16,,16,"2,10,20,30,33,43,50,53,59,80,90,95,100,150,200,215","-1.2990,-1.4360,-0.7701,-0.0883,0.0678,0.2143,0.5329,0.5648,0.8962,1.1160,1.2211,1.4856,1.5652,1.7022,1.7500,1.7373",,,"2,10,20,30,33,43,50,53,59,80,90,95,100,150,200,215","21.4280,27.7061,31.2760,31.9530,31.9777,32.4578,32.7901,32.8394,32.9378,33.1717,33.1964,33.3441,33.3933,33.4672,33.7134,33.7380",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","21.4280,27.7061,31.2760,31.9530,31.9777,32.4578,32.7901,32.8394,32.9378,33.1717,33.1964,33.3441,33.3933,33.4672,33.7134,33.7380"
