ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
rs27-056-14,140140,8/9/2015,13,66.42167325,-36.81993631,0,3,,3,"2,10,12","-1.363,-1.186,-1.039",,,"2,10,12","29.188,30.188,30.329",,,,,,,0,"0,0,0","0,0,0","29.188,30.188,30.329"
rs27-056-14,140140,8/10/2015,72,66.29261578,-37.30015606,0,17,,17,"2,4,10,14,16,18,20,26,30,36,40,46,50,54,56,59,72","-0.398,-0.602,-0.449,-0.246,-0.015,0.452,0.650,0.832,0.926,0.953,0.959,0.341,0.228,0.348,0.652,0.788,1.215",,,"2,4,10,14,16,18,20,26,30,36,40,46,50,54,56,59,72","21.720,26.938,30.173,30.765,31.078,31.762,31.948,32.214,32.354,32.539,32.632,32.852,32.806,32.899,32.991,33.084,33.316",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","21.720,26.938,30.173,30.765,31.078,31.762,31.948,32.214,32.354,32.539,32.632,32.852,32.806,32.899,32.991,33.084,33.316"
rs27-056-14,140140,8/10/2015,85,66.29759679,-37.32838178,0,9,,9,"2,10,14,20,26,30,36,40,50","0.094,-0.824,-0.796,-0.863,-0.731,-0.496,-0.240,-0.304,0.687",,,"2,10,14,20,26,30,36,40,50","24.318,30.460,31.156,31.842,31.954,32.139,32.353,32.464,32.974",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","24.318,30.460,31.156,31.842,31.954,32.139,32.353,32.464,32.974"
rs27-056-14,140140,8/12/2015,22,66.29150857,-37.66955381,0,8,,8,"2,10,12,14,16,18,20,22","-0.418,-1.008,-1.015,-1.015,-0.995,-0.959,-0.890,-0.863",,,"2,10,12,14,16,18,20,22","25.012,30.841,31.114,31.416,31.528,31.745,31.858,31.970",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","25.012,30.841,31.114,31.416,31.528,31.745,31.858,31.970"
rs27-056-14,140140,8/12/2015,35,66.29745966,-37.64217287,0,17,,17,"2,3,5,6,7,10,12,14,16,18,20,22,24,26,28,30,35","-1.376,-1.471,-1.471,-1.444,-1.278,-1.230,-1.122,-1.088,-1.053,-1.030,-1.029,-1.017,-1.009,-1.083,-1.083,-0.975,-1.011",,,"2,3,5,6,7,10,12,14,16,18,20,22,24,26,28,30,35","26.130,28.368,29.506,29.801,30.197,30.788,31.033,31.329,31.354,31.473,31.844,31.945,32.095,32.114,32.139,32.290,32.416",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26.130,28.368,29.506,29.801,30.197,30.788,31.033,31.329,31.354,31.473,31.844,31.945,32.095,32.114,32.139,32.290,32.416"
rs27-056-14,140140,8/12/2015,49,66.30017391,-37.63054037,0,9,,9,"2,10,12,14,16,18,20,22,24","-0.756,-0.852,-0.898,-0.867,-0.871,-0.846,-0.819,-0.780,-0.754",,,"2,10,12,14,16,18,20,22,24","28.668,31.003,31.264,31.425,31.587,31.814,31.897,31.930,31.992",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","28.668,31.003,31.264,31.425,31.587,31.814,31.897,31.930,31.992"
rs27-056-14,140140,8/13/2015,61,66.30794966,-37.53486968,0,17,,17,"2,4,10,13,14,17,20,26,30,36,40,48,49,50,51,60,61","-0.946,-1.117,-1.195,-1.168,-1.109,-1.055,-0.908,-0.756,-0.738,-0.845,-0.903,-0.647,-0.534,-0.222,-0.127,0.079,0.152",,,"2,4,10,13,14,17,20,26,30,36,40,48,49,50,51,60,61","23.626,27.513,30.529,30.894,31.222,31.447,31.812,32.037,32.140,32.364,32.402,32.655,32.692,32.767,32.880,32.992,32.917",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","23.626,27.513,30.529,30.894,31.222,31.447,31.812,32.037,32.140,32.364,32.402,32.655,32.692,32.767,32.880,32.992,32.917"
rs27-056-14,140140,8/13/2015,64,66.30691859,-37.50606661,0,17,,17,"2,5,10,14,18,19,20,21,26,30,36,40,43,45,47,50,64","-0.024,-0.511,-0.593,-0.640,-0.689,-0.410,0.471,0.653,0.691,0.839,0.787,0.419,0.134,0.134,0.691,0.745,0.990",,,"2,5,10,14,18,19,20,21,26,30,36,40,43,45,47,50,64","27.174,29.591,31.090,31.484,31.807,31.831,31.831,32.037,32.196,32.290,32.407,32.589,32.613,32.754,32.819,32.866,33.054",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.174,29.591,31.090,31.484,31.807,31.831,31.831,32.037,32.196,32.290,32.407,32.589,32.613,32.754,32.819,32.866,33.054"
rs27-056-14,140140,8/14/2015,44,66.28650034,-37.53307767,0,17,,17,"2,3,6,10,12,14,16,18,20,22,24,27,29,31,36,40,44","0.177,-0.067,-0.546,-0.659,-0.727,-0.733,-0.778,-0.744,-0.630,-0.419,-0.402,-0.295,-0.295,-0.549,-0.599,-0.751,-0.772",,,"2,3,6,10,12,14,16,18,20,22,24,27,29,31,36,40,44","20.116,24.287,29.573,30.402,30.835,31.083,31.318,31.467,31.665,31.764,31.863,31.949,32.098,32.147,32.246,32.395,32.494",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","20.116,24.287,29.573,30.402,30.835,31.083,31.318,31.467,31.665,31.764,31.863,31.949,32.098,32.147,32.246,32.395,32.494"
rs27-056-14,140140,8/14/2015,43,66.29080491,-37.55338405,0,16,,16,"2,3,5,10,12,14,16,18,20,22,24,27,36,39,42,43","-1.318,-1.406,-1.476,-1.489,-1.475,-1.473,-1.468,-1.369,-1.324,-1.276,-1.265,-1.227,-1.221,-1.169,-1.065,-0.960",,,"2,3,5,10,12,14,16,18,20,22,24,27,36,39,42,43","25.148,27.073,29.093,30.562,30.907,31.135,31.341,31.510,31.686,31.855,31.943,32.031,32.288,32.347,32.406,32.494",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","25.148,27.073,29.093,30.562,30.907,31.135,31.341,31.510,31.686,31.855,31.943,32.031,32.288,32.347,32.406,32.494"
